91,68,1,2023-05-16,ああああああ

94,1,5,2023-05-16,

95,68,4,2023-05-16,

100,68,0,2023-05-16,

101,1,1,2023-05-16,

102,1,100,2023-05-16,

103,1,100,2023-05-16,

104,92,10,2023-05-16,

105,1,4,2023-05-16,

106,1,4,2023-05-16,

107,1,4,2023-05-16,

109,1,5,2023-05-16,あ

110,1,10000,2023-05-16,"青森県産のりんごです
"

120,1,1,2023-05-16,

121,1,1,2023-05-16,

122,1,1,2023-05-16,

123,1,1,2023-05-16,

124,1,1,2023-05-16,

125,1,1,2023-05-16,

126,1,1,2023-05-16,

127,1,1,2023-05-16,

128,1,1,2023-05-16,

129,1,1,2023-05-16,

130,1,1,2023-05-16,

131,1,1,2023-05-16,

132,1,1,2023-05-16,

133,1,1,2023-05-16,

136,89,6,2023-05-17,

137,98,15,2023-05-17,

141,1,1,2023-05-17,

142,1,1,2023-05-17,

143,1,1,2023-05-17,

144,1,1,2023-05-17,

145,1,1,2023-05-17,

146,1,1,2023-05-17,

150,1,1,2023-05-17,

153,66,2,2023-05-17,

